time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1773505216576446200,0.0664462890625,-2.973693587846876,0.6314981062423427,0.7706280102382538,-1.3759805437691512,-0.05351784337759197,0.06692101740106278,0.035557079510182034
1773505216586481400,0.0764814453125,-2.97279769687401,0.6313610530099482,0.7706925676065074,-1.3756957921329693,-0.05389521603456452,0.06716882522830664,0.03548579512407244
1773505216596516400,0.086516357421875,-2.971821572247728,0.6312376965510873,0.7707406676196218,-1.3754565928555988,-0.05429314291926192,0.06745378195188585,0.03544240870263446
1773505216606551300,0.09655126953125,-2.9706664891267054,0.6310608449969181,0.7708217503515524,-1.37510115076569,-0.05474366786292141,0.06781667624778617,0.03546340055036096
1773505216616587500,0.10658740234375,-2.9693186576636172,0.6307624780980918,0.7709904098114543,-1.374454537521497,-0.05525842287753025,0.06825658762002387,0.03554795568800494
1773505216626622500,0.11662255859375,-2.967866200005762,0.6303270444031032,0.7712645848952684,-1.373462365357046,-0.055826908645918584,0.0687179652548454,0.03562858256203297
1773505216636657400,0.126657470703125,-2.9665416512010894,0.6298047701688797,0.771617053891666,-1.3722235775273164,-0.056390019081734966,0.06908889644274685,0.035598453657476804
1773505216646693400,0.136693359375,-2.9659378677520603,0.6293696374095619,0.7719414436098879,-1.3711186500538848,-0.056758217144802454,0.06912954432931781,0.03529144878259234
1773505216656728600,0.146728515625,-2.9668459793083772,0.6292081550710159,0.7721338823271061,-1.3705310207693844,-0.05670157263942905,0.06849345169196627,0.03442484462279102
1773505216666763300,0.15676318359375,-2.968604903618674,0.6292378810225174,0.7722176150250761,-1.3703640142783915,-0.05630655741789,0.06759574353551076,0.03354309972050476
1773505216676799200,0.16679931640625,-2.9695472773150544,0.6295994283040769,0.771976519931174,-1.3712061595145104,-0.0559524947991605,0.0672763007965354,0.03342235372997476
1773505216686834400,0.17683447265625,-2.9690179686928557,0.6301302672731918,0.7715056879123531,-1.3727050176847921,-0.05586353792131167,0.06778039600722258,0.03418997062971282
1773505216696869400,0.186869384765625,-2.9675994147379345,0.6307598009656848,0.7708984139273326,-1.3745853301684015,-0.055963769505445085,0.0687452635857753,0.03539922979570234
1773505216706904300,0.196904296875,-2.9664770788676864,0.6315798592323415,0.7701499634496984,-1.3769336393496776,-0.05594586029714723,0.0696127964747201,0.036564174979053836
1773505216716940300,0.206940185546875,-2.96637344067802,0.6325093990522036,0.7693708199474438,-1.3794455058029105,-0.05562881605835546,0.07004134557962786,0.037412764184118645
1773505216726975500,0.2169755859375,-2.9671172512108464,0.6334776479662695,0.7686078819316563,-1.3819639471088083,-0.05504500145245279,0.07012850242187785,0.038072280266677125
1773505216737010400,0.227010498046875,-2.9680160323345617,0.6343539881636817,0.7679267102073042,-1.3842368010217903,-0.05439278231891367,0.07017937752793905,0.03878640445334457
1773505216747046400,0.23704638671875,-2.968402300687226,0.6350513212938033,0.767361074916719,-1.3861052196665224,-0.053909690053511226,0.07043061838092911,0.03963096359590027
1773505216757081600,0.24708154296875,-2.968102871279517,0.6355767843264712,0.7668974145919725,-1.3875965268653474,-0.05368253309096206,0.07091271680302587,0.0405379167438125
1773505216767116300,0.2571162109375,-2.9673644524342686,0.6359248372149869,0.7665564810295948,-1.388658755336025,-0.05366474541839579,0.07149094052592507,0.04136199137379956
1773505216777152300,0.26715234375,-2.966642014870486,0.636148114412757,0.7663218588796947,-1.3893745816163077,-0.05371584913886204,0.07197919856544595,0.04198833082626421
1773505216787187500,0.2771875,-2.9662354793293604,0.6362811906405117,0.7661821722263347,-1.3898071205315712,-0.05371346651928483,0.0722904994087127,0.0424343808293804
1773505216797222400,0.287222412109375,-2.966188878004586,0.636310796878789,0.7661500648452366,-1.3899269871795512,-0.053611424929942635,0.07244665563220484,0.04279602507162893
1773505216807257300,0.29725732421875,-2.9663717355071264,0.6362606808455041,0.766196731322739,-1.3898190527937655,-0.053423608272479536,0.07253095589963515,0.04317669385659505
1773505216817293300,0.307293212890625,-2.966593369857487,0.636147891887777,0.7662971768400447,-1.3895487846744226,-0.05321225616800645,0.07261613114189144,0.04360315873824279
1773505216827328500,0.31732861328125,-2.9668013053978974,0.635993062699158,0.7664310666923844,-1.389173043928151,-0.053001101702333554,0.07271351428704807,0.04405737820442928
1773505216837363500,0.327363525390625,-2.967028305417745,0.6358232803833378,0.7665783869700492,-1.3887555888087895,-0.052787080299996764,0.07280034616635497,0.04450252265124852
1773505216847399400,0.3373994140625,-2.9673620666084353,0.6356806418444427,0.7667093762854785,-1.388397711755822,-0.052533653446631016,0.07285056744612285,0.04493629473742879
