frame_file,frame_index,video_time_s,frame_abs_ms,lat,lon,altitude,speed,bearing,horizontalAccuracy,in_gps_range
2706_Waverly_00000.jpg,0,1.966991914737229,1773506762408.992,34.107599751698935,-118.2612903497527,107.23118681363847,0.0,123.70730379131228,3.8299105294326417,True
2706_Waverly_00001.jpg,1,2.967157295112091,1773506763409.1572,34.10760435945616,-118.26128749937016,107.06148788259922,0.2415328237362992,303.6060781574249,3.536336766772894,True
2706_Waverly_00002.jpg,2,3.9673226754869533,1773506764409.3228,34.1076131390116,-118.26129939607445,105.82427229254314,0.762008046034692,304.98221712027055,3.530702693108317,True
2706_Waverly_00003.jpg,3,4.967488055861816,1773506765409.488,34.10762012484065,-118.26130964050188,105.10974913034231,1.0059029122918854,306.5454347908617,3.4826044373144893,True
2706_Waverly_00004.jpg,4,5.967653436236678,1773506766409.6533,34.10762674521572,-118.2613196811685,105.26803201178322,1.2541731258187316,305.5078125,3.374092439380865,True
2706_Waverly_00005.jpg,5,6.9678188166115405,1773506767409.8188,34.10763327166871,-118.26133015456043,105.35637158500265,1.4025734254632525,304.4982403275608,3.269219409456732,True
2706_Waverly_00006.jpg,6,7.967984196986403,1773506768409.9841,34.107638592987996,-118.26133944671125,105.23592898556963,1.090000033378601,304.0568400264074,3.237267224664541,True
2706_Waverly_00007.jpg,7,8.968149577361265,1773506769410.1497,34.1076447270703,-118.2613489262999,105.19833413859428,1.090000033378601,309.11625860091533,3.2141254247322038,True
2706_Waverly_00008.jpg,8,9.968314957736126,1773506770410.315,34.10765092299076,-118.26135811993774,105.1964620677547,1.0941072386283484,313.28611649413557,3.2469714841658277,True
2706_Waverly_00009.jpg,9,10.96848033811099,1773506771410.4802,34.10765715493887,-118.2613672997442,105.32296551897898,1.100000023841858,318.76945375996905,3.1978753198468195,True
2706_Waverly_00010.jpg,10,11.96864571848585,1773506772410.6458,34.10766305530225,-118.26137621041873,105.2390361386022,1.0958897232287397,328.42193171252273,3.154319149580848,True
2706_Waverly_00011.jpg,11,12.968811098860714,1773506773410.811,34.10767028680574,-118.26138483562845,105.20373539598458,1.0900000333785944,328.00781105691954,3.0137286103592116,True
2706_Waverly_00012.jpg,12,13.968976479235575,1773506774410.9766,34.10767759024766,-118.26139296581223,105.24129506652652,1.090000033378585,327.8631944484179,2.862600219817033,True
2706_Waverly_00013.jpg,13,14.969141859610438,1773506775411.1418,34.10768101030866,-118.26140345007869,105.23853275091811,1.1188052011568903,327.6562463623777,3.1406051024584114,True
2706_Waverly_00014.jpg,14,15.9693072399853,1773506776411.3071,34.107683700798006,-118.26141477881252,105.25321712358696,1.1599999666213796,327.6562462284382,3.2952045046371046,True
2706_Waverly_00015.jpg,15,16.96947262036016,1773506777411.4727,34.107685767553725,-118.26142540699787,105.52498634170786,1.1599999666213794,327.5114684219441,3.399784845651392,True
2706_Waverly_00016.jpg,16,17.969638000735024,1773506778411.638,34.10768781109471,-118.2614361179003,105.90570421472344,1.1599999666213796,327.30468369197007,3.5927813252776253,True
2706_Waverly_00017.jpg,17,18.969803381109887,1773506779411.8035,34.107690686674836,-118.26144689759361,106.09020497425134,1.0816956478667261,327.30468394903085,3.7484926147142508,True
2706_Waverly_00018.jpg,18,19.96996876148475,1773506780411.9688,34.10769408213183,-118.2614591266831,106.03935986974874,1.0607026725327475,318.6080530117728,3.8728839639664163,True
2706_Waverly_00019.jpg,19,20.97013414185961,1773506781412.134,34.10770869876021,-118.26147638557707,106.10141276495808,1.1900000572204381,309.11090109911305,4.273223022577575,True
2706_Waverly_00020.jpg,20,21.970299522234473,1773506782412.2996,34.10772945879899,-118.26149185926833,106.05536889333744,1.190000057220438,319.0443115722395,4.748651530191779,True
2706_Waverly_00021.jpg,21,22.970464902609336,1773506783412.4648,34.10773491879677,-118.26150140306918,105.97217040314392,1.0868121975388099,320.6297203482304,4.748651530191776,True
2706_Waverly_00022.jpg,22,23.970630282984196,1773506784412.6304,34.10773814467685,-118.26151039111477,105.90979751066585,0.939999997615804,317.81030212753774,4.748651530191773,True
2706_Waverly_00023.jpg,23,24.97079566335906,1773506785412.7957,34.107741608862945,-118.26152145599892,106.04457542981288,0.939999997615804,315.5420056932131,4.748651530191773,True
2706_Waverly_00024.jpg,24,25.970961043733922,1773506786412.961,34.107743530702045,-118.26153592965699,106.35960560990078,0.939999997615804,296.6490134519144,4.748651530191773,True
2706_Waverly_00025.jpg,25,26.971126424108785,1773506787413.1265,34.10774641103551,-118.261548284502,106.80274484374243,0.9482676216253833,293.7000116900959,4.748651530191773,True
2706_Waverly_00026.jpg,26,27.971291804483645,1773506788413.2917,34.10775317678981,-118.26156365422149,106.76814885818641,1.3032366621555038,298.4131632013646,4.748651530191785,True
2706_Waverly_00027.jpg,27,28.971457184858508,1773506789413.4573,34.107761935608224,-118.26157865546581,106.41637507373146,1.5128231499887899,305.96820217175053,4.748651530191792,True
2706_Waverly_00028.jpg,28,29.97162256523337,1773506790413.6226,34.10776620918481,-118.26158703645606,106.30561757345471,1.1200000047683545,307.90817645789446,4.748651530191778,True
