time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1773506916918496300,0.067496337890625,0.9446471042555347,-0.32141064871552966,-0.3225706666198018,-1.4687322294553087,-0.6684514153079455,0.5880614014224316,0.05033333961739826
1773506916928533000,0.077532958984375,0.9475492928134568,-0.3221178584535293,-0.3236772272742082,-1.4685692870644191,-0.6679774015584375,0.5876046569808975,0.049967197722635116
1773506916938570000,0.087570068359375,0.95063077396848,-0.32287874009824635,-0.32484302357012523,-1.4682442231013124,-0.6675328973233843,0.5870487759302198,0.049687405515580346
1773506916948607200,0.097607177734375,0.9533249290373368,-0.3234857532151386,-0.3259172471649361,-1.4677479522712211,-0.6671944454825924,0.5865037007305621,0.049372508614374366
1773506916958644200,0.107644287109375,0.9554190986062154,-0.32388398277528513,-0.3268220696382427,-1.4671189527189348,-0.6669865619426948,0.5860166121805052,0.049025841053916594
1773506916968680200,0.11768017578125,0.9570951261558867,-0.32415992723800774,-0.3275875423894861,-1.4663889569407105,-0.6668833152848713,0.585553854557359,0.048732684327111066
1773506916978717200,0.12771728515625,0.9587405654353978,-0.3244474798806013,-0.328324127886147,-1.465563891558325,-0.666828821212924,0.5850440644518347,0.048552770541127055
1773506916988754000,0.13775390625,0.9606682878803722,-0.32484205226128593,-0.329132182208565,-1.4646844061576527,-0.666758094531694,0.5844513661361799,0.04847761398987648
1773506916998791200,0.147791259765625,0.9629249955219238,-0.3253387585968534,-0.3300439842601478,-1.4637586820022948,-0.6666522025278766,0.5837813582011847,0.04844749929368815
1773506917008828200,0.157828125,0.9653446008717306,-0.32586977674496587,-0.33102101165523284,-1.4628564369744614,-0.6665038167403325,0.5831009161225968,0.048368447129198626
1773506917018865200,0.167865234375,0.9676957562510102,-0.32635295481091403,-0.3319987681678221,-1.4620473569328938,-0.6663192677032159,0.5824854446397267,0.048160238585470166
1773506917028901000,0.177901123046875,0.9698524706950761,-0.3267693204540531,-0.3329175216066202,-1.4614875089471877,-0.6660699444244982,0.582012434014,0.04779636840815434
1773506917038938000,0.187938232421875,0.9717863150626239,-0.32713973059209905,-0.3337405624864285,-1.4612430820311075,-0.6657499733254542,0.5816989825504792,0.047331112712844466
1773506917048975000,0.19797509765625,0.973509439200174,-0.3274791700345367,-0.3344626146755347,-1.4612308508158325,-0.6653930846524073,0.581501646933301,0.04684075433731375
1773506917059012000,0.20801220703125,0.9749988612211038,-0.3277802043207769,-0.33507862732493554,-1.4612908156676658,-0.6650615539573022,0.5813566612135505,0.04640429241818199
1773506917069049000,0.218049072265625,0.9761934745324862,-0.32803892330566564,-0.3355567417465522,-1.4613230939665942,-0.6648089891252605,0.5812238707996898,0.046115616930566705
1773506917079086000,0.228086181640625,0.9770948555985125,-0.3282980284971625,-0.3358590269195893,-1.461310550784764,-0.6646610734265924,0.581072191178065,0.046113499959929145
1773506917089122000,0.2381220703125,0.9776740009781167,-0.328608911377434,-0.33591949154007295,-1.4614074055215678,-0.6645936091061277,0.5809386702776053,0.04650227741003723
1773506917099159300,0.2481591796875,0.9778005678825876,-0.3289635042851828,-0.3356667060896826,-1.4616803664361164,-0.6646176774532945,0.5808564634977706,0.047339248006211275
1773506917109196300,0.2581962890625,0.9773859109400177,-0.32929206516854914,-0.33511183157684826,-1.4620746816414087,-0.6647480529106239,0.5808414496999431,0.04851786699213176
1773506917119233000,0.26823291015625,0.976520780272626,-0.32959808075263164,-0.33430543207377433,-1.462601050483202,-0.6649546773818614,0.580896139269406,0.0499628856286374
1773506917129270000,0.27827001953125,0.9754139769917869,-0.3299540385509249,-0.333303255099095,-1.4634520899260575,-0.6651366112302438,0.5810615837118313,0.051612499206721243
1773506917139307000,0.28830712890625,0.9743393074555929,-0.3304206724936329,-0.33221306192066746,-1.4645984959746963,-0.6652503398751408,0.5812904920245111,0.05342575290738859
1773506917149344300,0.29834423828125,0.9734967915425233,-0.3310256733786783,-0.331129856777278,-1.4659426454926292,-0.6652847393812097,0.5815250137869942,0.05536034205874537
1773506917159380200,0.308380126953125,0.9729315268287936,-0.3317407712630233,-0.3301074712879668,-1.467408974010853,-0.6652412261070045,0.5817483979659037,0.05732768542430468
1773506917169417200,0.318417236328125,0.9726390785247155,-0.3325422967001183,-0.3291657257711466,-1.4689328759322122,-0.6651348397255648,0.5819461070522817,0.059292243961482985
1773506917179454200,0.3284541015625,0.9725697920605922,-0.3333604826728729,-0.328341986672303,-1.4703475109191222,-0.6650095587815563,0.5820863928131232,0.06116714459005538
1773506917189491000,0.338490966796875,0.9727422087447288,-0.33413608019733493,-0.3277069252032716,-1.4713913928606028,-0.6649290486599005,0.5820914959817316,0.06288418007068222
1773506917199528200,0.348528076171875,0.9731585423233344,-0.3348536866726174,-0.32727752397799476,-1.4720503241790417,-0.6648909839558146,0.5819642484617384,0.06439926210307567
1773506917209565200,0.358565185546875,0.9737693690112857,-0.3354805682165848,-0.3270560434083828,-1.4722835979817797,-0.6649098533225509,0.5817061709349856,0.06567483451896539
1773506917219601200,0.36860107421875,0.9745016132110109,-0.3360002664896504,-0.32701573283989055,-1.4719996751242677,-0.6650328789566002,0.5812879836483184,0.0667714219924304
1773506917229638100,0.37863818359375,0.9752497496128075,-0.3364021929931626,-0.32710399095413395,-1.4711336304196259,-0.6653102223633396,0.5806883102952325,0.06778460504345689
1773506917239675100,0.388675048828125,0.9759685727710017,-0.3366893608477082,-0.3272927296768415,-1.4695686303303348,-0.665798261884111,0.5798555343047608,0.06882370123859964
1773506917249712000,0.398712158203125,0.9767177628327649,-0.3368935260375612,-0.3275890229047484,-1.4672642349936773,-0.6665077650860676,0.578753422398873,0.06995480798831727
1773506917259749000,0.4087490234375,0.9775809219038876,-0.337070259052148,-0.32799042383655513,-1.4642862077574756,-0.6674142910500032,0.5773768736575066,0.07124309631529067
1773506917269786000,0.4187861328125,0.9786176746909601,-0.33726311772633405,-0.32849021398270195,-1.4607703156778018,-0.6684693648405285,0.5757573646512254,0.07270283501322083
1773506917279823000,0.428822998046875,0.9798122899455415,-0.3374735912842324,-0.3290750465681616,-1.4568790323063903,-0.6696182256951434,0.5739623030796686,0.07427185718557652
1773506917289859000,0.438859130859375,0.9809852437686828,-0.3376091876483873,-0.32972222117324274,-1.4526464092220808,-0.6708587844093332,0.572059173337121,0.07580752325206212
1773506917299896300,0.448896240234375,0.9820028682150213,-0.337586570343054,-0.3304279174546129,-1.4480842253521446,-0.6721884492480701,0.5701010945942978,0.0771655093052634
1773506917309933300,0.458933349609375,0.9828503217488632,-0.33742303966400056,-0.33116368635708554,-1.4433646652370073,-0.6735571151958931,0.5681522561468517,0.07832464640746054
1773506917319970000,0.468969970703125,0.9836579090486502,-0.33718571454533475,-0.33194265303938725,-1.4386283317132433,-0.6749064897961685,0.5662341629333301,0.07930621975021614
1773506917330007000,0.479007080078125,0.984669428838694,-0.33697060568945425,-0.33282133038910994,-1.4339066702863232,-0.6761966904408144,0.564303769102571,0.08017803102720468
1773506917340044000,0.4890439453125,0.9860859369218161,-0.3368530154569253,-0.3338490245221359,-1.4292680206603217,-0.6773787260012898,0.5623459228073812,0.08096528805978784
1773506917350080000,0.499080078125,0.9879255018307588,-0.33684365444911485,-0.3350258833355529,-1.4247337748042157,-0.6784444687607513,0.5603633504421429,0.0816777607169257
1773506917360117200,0.5091171875,0.9899892945072537,-0.33685547931560184,-0.3363124959083561,-1.4202810141987952,-0.6794221476716982,0.5583976401046654,0.08223459260843603
1773506917370154200,0.519154296875,0.9919728696765897,-0.3368118362722181,-0.3375921438123665,-1.416216437469368,-0.6802589621298856,0.5566301610913141,0.08250416984167915
1773506917380191000,0.52919091796875,0.9935673427577169,-0.33658896781531494,-0.33879642367178614,-1.4123604368141216,-0.6810550716470338,0.5550576345029042,0.08246158768671608
1773506917390228000,0.53922802734375,0.9946319796167461,-0.33613010920272524,-0.33989623180936274,-1.4085188441092613,-0.6818953253032587,0.553629741582485,0.08215014355533723
1773506917400265200,0.54926513671875,0.9952733831451672,-0.3355409781484341,-0.3408570543500098,-1.4048555734643997,-0.68273787826127,0.5523565154282507,0.08171475001362084
1773506917410302200,0.55930224609375,0.9957138169450043,-0.3349283724920087,-0.3417162973886315,-1.401283773658561,-0.6835949755026997,0.5511359992110179,0.0813360499940708
1773506917420338200,0.569338134765625,0.9962084174202662,-0.3344163462297466,-0.34251270334684397,-1.3979035199210363,-0.6844109973659658,0.5499383850583255,0.08112363466463278
1773506917430375200,0.579375244140625,0.9968794282400684,-0.3340641919970175,-0.3432651400738524,-1.394787346306422,-0.6851511098080726,0.5487605895647999,0.08111707134520109
1773506917440412200,0.589412109375,0.9977006444962973,-0.33384714517737085,-0.3439794491134217,-1.3920252902179426,-0.6857807935342247,0.5476577170465009,0.08121517246314451
1773506917450449200,0.59944921875,1.0028580522203556,-0.3348856559698996,-0.3461104403641741,-1.389704002270426,-0.6855378037065298,0.5459825959381799,0.08130254084845892
1773506917460486100,0.609486083984375,1.0037699689313424,-0.3347999331143281,-0.34674646318729924,-1.3877672389874145,-0.685908751239599,0.5451652786607605,0.08130569413354465
1773506917470523100,0.619523193359375,1.0048961450100249,-0.33480319925653934,-0.3474236340067199,-1.3861328280891458,-0.6861501059269614,0.5444279261036027,0.08124559631476408
1773506917480560000,0.62956005859375,1.0064307847505591,-0.3349160978249296,-0.3482392608202043,-1.3846336933386583,-0.6862723595774959,0.5436826997244495,0.08111291365886288
1773506917490596000,0.63959619140625,1.0084416155354876,-0.3351055718504769,-0.34926436257737054,-1.3830518660333542,-0.6863171624623543,0.5428512658116607,0.08086832115219751
1773506917500633300,0.64963330078125,1.0108998668976634,-0.3352908802339681,-0.35055579763102085,-1.381118740398507,-0.6863504463048454,0.5418613184342376,0.08043554382430285
1773506917510670000,0.659670166015625,1.0137807412410889,-0.3354199687534358,-0.3521463824478548,-1.3786047849774121,-0.6864358704140827,0.5406404867088882,0.07980409421114784
1773506917520707000,0.66970703125,1.0170742421114431,-0.3354717871103624,-0.35404850332720655,-1.3753704529308939,-0.6866140859445249,0.5391375925969072,0.07899974015910977
1773506917530744000,0.679744140625,1.020716403836854,-0.3354105739534223,-0.35625605015134953,-1.3712247617207751,-0.6869529468608668,0.5372867290018861,0.0780785757157871
1773506917540781000,0.689781005859375,1.0246174248979754,-0.3351990228392426,-0.3587465944918228,-1.3661095010654596,-0.6874806421153896,0.5350820781012791,0.07704412944307247
1773506917550817000,0.699817138671875,1.0285669780607436,-0.3348165267234143,-0.3614124997103166,-1.3600834899968106,-0.6882279481097576,0.5325609292785012,0.07598492700194709
1773506917560854300,0.709854248046875,1.032371087180479,-0.3342310826892461,-0.36416573942816344,-1.3532204483144457,-0.6892111704524413,0.5297742882806887,0.0749303978044192
1773506917570891300,0.719891357421875,1.0358967624926803,-0.3334446098783746,-0.36692383524678707,-1.3456955990360886,-0.6904089050322879,0.5267988754108717,0.07390338322409859
1773506917580928000,0.729927978515625,1.0391087014920064,-0.3324995427319426,-0.36962624618547274,-1.3377474681535273,-0.6917672479902874,0.5237160510882986,0.07293082604124439
1773506917590965000,0.739965087890625,1.0420239973051824,-0.33144110345936745,-0.3722412329397388,-1.32961191150434,-0.6932195336873077,0.5206052202574075,0.07200363754545326
1773506917601002200,0.750002197265625,1.0446717359766138,-0.3303371576181443,-0.3747263692799162,-1.3215460644870698,-0.69469899332236,0.51754299189481,0.0711557992992774
1773506917611039200,0.760039306640625,1.0470296575969125,-0.3292328621845014,-0.377031374273907,-1.3137689574076084,-0.6961578397401845,0.514604032564443,0.07041050891384194
1773506917621075200,0.7700751953125,1.049014291461632,-0.3281309822970076,-0.3791087740369229,-1.306391999251673,-0.6975855863215663,0.5118405974905591,0.06976895321167183
1773506917631112200,0.7801123046875,1.0505155310566499,-0.32702706886470334,-0.3809029217591527,-1.2995020608983818,-0.6989858417756715,0.5092986203791836,0.06924323623094318
1773506917641149000,0.79014892578125,1.0514527622677825,-0.3259149772986498,-0.3823762492437816,-1.2931863111266073,-0.7003521027729291,0.5070254228046746,0.0688158218400365
1773506917651186200,0.800186279296875,1.0518869881074089,-0.32481944418250674,-0.3835448676211847,-1.2875063011753873,-0.7016580008528978,0.5050364058571114,0.06846956677667874
1773506917661223200,0.81022314453125,1.051959321794965,-0.32378340758091867,-0.38445429012641313,-1.2825252532898606,-0.7028601014935437,0.5033359104594781,0.06818239300678
1773506917671260200,0.82026025390625,1.0517819063374123,-0.3228406013274506,-0.38514155783418963,-1.2782659645052588,-0.7039326891144817,0.5019150338925963,0.06795171088428299
1773506917681296100,0.830296142578125,1.0513982840408787,-0.3219968183004585,-0.38562774920086934,-1.274725526163071,-0.7048677414568942,0.5007701252921092,0.0677604691602114
1773506917691333000,0.8403330078125,1.0508397637916294,-0.321253470640258,-0.38592982064819253,-1.2719395112902698,-0.7056459884743254,0.4999181636426158,0.06756719051394594
1773506917701370000,0.8503701171875,1.050145099492506,-0.3205986232259379,-0.386079714468293,-1.26986099615191,-0.7062672640867612,0.4993451182427198,0.06733345144385867
1773506917711407000,0.860406982421875,1.0494244078744428,-0.3200636981086465,-0.3861142840898005,-1.2684671252971154,-0.7067200311795132,0.49902082982460294,0.06708301491118668
1773506917721444000,0.870444091796875,1.048827334533415,-0.3196737572594543,-0.3860977401042342,-1.2676434875053888,-0.7070082397099536,0.4988753861119888,0.06684441009566236
1773506917731481000,0.880481201171875,1.048452699113743,-0.3194060849684221,-0.3861039807994312,-1.2671952198369667,-0.7071575948190821,0.4988303772293639,0.06658928890554061
1773506917741518000,0.89051806640625,1.0483304288196331,-0.31921083375422704,-0.3861895257965319,-1.2669606745725428,-0.7071923113499008,0.498839977410568,0.06624177991263065
1773506917751554000,0.900553955078125,1.0483934921989781,-0.3189842235932263,-0.3864003206115023,-1.2666849716687043,-0.7071736918996688,0.4988479594885439,0.06569171664345891
1773506917761591300,0.91059130859375,1.0485469064678843,-0.318621149318506,-0.3867677551265729,-1.2661126492548413,-0.7071712481688577,0.49879865998596945,0.06484639329828382
1773506917771628000,0.9206279296875,1.048765783344607,-0.31804737634248065,-0.3873372177090447,-1.2649908498722275,-0.7072452128301693,0.4986180950135202,0.06365124910296052
1773506917781665000,0.9306650390625,1.049078921320037,-0.31724184588615895,-0.38814136696625573,-1.263111244936426,-0.7074464676465491,0.4982201267378357,0.06214355460151057
1773506917791702000,0.940701904296875,1.049547695166696,-0.3162225669744103,-0.38919839561951125,-1.2603890632288466,-0.7077919830301632,0.49755240621451413,0.06038308632324178
1773506917801739300,0.9507392578125,1.0501935629636208,-0.3150278021743749,-0.3904879438527957,-1.2568341021091012,-0.7082867953227581,0.49659491761410024,0.058464709160610986
1773506917811776300,0.9607763671875,1.0509463119214375,-0.31369019495638917,-0.3919427221598289,-1.2526038499220422,-0.708912508905689,0.4954013312192476,0.05644988927764792
1773506917821810700,0.970810791015625,1.0516955556277678,-0.3122375890723996,-0.39347711291322873,-1.247958696495473,-0.7096273315042256,0.4940774493161236,0.05435507879560541
1773506917831847700,0.98084765625,1.052306066661359,-0.310683839330006,-0.39500403233184994,-1.243131634159931,-0.7104007733512142,0.49272527264985183,0.05218682533613757
1773506917841885000,0.990885009765625,1.0527496284436229,-0.30905187579576826,-0.39648954686326154,-1.2382286261077118,-0.711215784991658,0.4913808533945404,0.0499711958474561
1773506917851922000,1.000921875,1.0531768887783959,-0.30738992718502045,-0.397979030487764,-1.233188225965869,-0.7120669537593717,0.4899845074827722,0.04777547212772553
1773506917861958700,1.010958740234375,1.0538350034635096,-0.30576907162325645,-0.39955344295412154,-1.2278755231809841,-0.7129524174956647,0.48842729623087067,0.04570789585110384
1773506917871995600,1.02099560546875,1.054811693598192,-0.3042605350979238,-0.401207319352168,-1.2223345583663725,-0.7138588669006306,0.4866864597239614,0.043887909662714025
1773506917882031600,1.031031494140625,1.055899911482962,-0.30282364083691615,-0.4028593254899973,-1.2166613312394097,-0.7147999347466202,0.4848332522992973,0.0422900478929073
1773506917892068900,1.04106884765625,1.056737891850823,-0.30133379633685903,-0.4044061369267512,-1.2109796492838327,-0.7157939361614643,0.4830038059926234,0.040737668568668756
1773506917902105900,1.05110595703125,1.0572681603288794,-0.2998083078541903,-0.405803119720906,-1.2056358461024015,-0.7167544771107653,0.4813542925153553,0.039117722206419805
1773506917912142800,1.061142822265625,1.0579118954029405,-0.29841300170829027,-0.4071560266060585,-1.200786500895908,-0.7175717682521705,0.4798589486472106,0.03751936695275875
1773506917922179600,1.0711796875,1.059224010078093,-0.2973549945437933,-0.4086136147332227,-1.196512223302069,-0.7181357059839218,0.478430761930099,0.03610367466912597
1773506917932216600,1.081216552734375,1.0614711378617705,-0.2967229091363742,-0.41025584301758333,-1.1928902826469208,-0.7183768133330815,0.47705378122593145,0.03489659570737467
1773506917942253800,1.09125390625,1.0644666419210134,-0.29639441036764064,-0.41207114345111123,-1.1898920233920862,-0.7183119107928332,0.47578965947257496,0.03369526822050661
1773506917952289800,1.101289794921875,1.0676768789987916,-0.29614768435784644,-0.41393444057214984,-1.1874373729191872,-0.7180388533235657,0.4747368686410521,0.032276811099882056
1773506917962326800,1.111326904296875,1.070688023593477,-0.2958234335151236,-0.41574013344753186,-1.1854317606198934,-0.7176497686239115,0.47394886213052795,0.030520849106625572
1773506917972363800,1.12136376953125,1.0734130478407662,-0.29558294671799046,-0.4173293351724676,-1.1846314870735035,-0.7169931224992454,0.47369601219826185,0.0284912506394301
1773506917982400800,1.13140087890625,1.075847646349599,-0.2954833838611511,-0.4186633038292301,-1.1849735618379162,-0.7161119541468735,0.47391377762405323,0.026380810964312894
1773506917992437800,1.141437744140625,1.0778022319433433,-0.2954908868058685,-0.4196693378877894,-1.1862694869625943,-0.7151101865340447,0.47453169628311903,0.02432668009321866
1773506918002474800,1.151474853515625,1.0789048154095815,-0.2955502518140164,-0.4201923614866567,-1.1887684340157894,-0.7139983324875433,0.4757045391196457,0.02227178780730258
1773506918012510700,1.1615107421875,1.0789586584496969,-0.29558292977940653,-0.42018485630152136,-1.1924670830197954,-0.7128053184749478,0.4774766640602188,0.02013060144040185
1773506918022547700,1.171547607421875,1.0781038488511905,-0.2956215786886788,-0.4196976682938185,-1.1972668973213714,-0.7115309474593499,0.4797764603763436,0.017966647094376634
1773506918032584700,1.181584716796875,1.0766419021807339,-0.29578466088512895,-0.4188055739829481,-1.2030230825878356,-0.7101747154962837,0.4824574843578351,0.016006490955908097
1773506918042622000,1.1916220703125,1.0748223018395393,-0.296194170489442,-0.4175519220483,-1.2096991475141465,-0.7087188423182443,0.4854245947500294,0.01445733775381356
1773506918052658700,1.20165869140625,1.0726862828922266,-0.2968600455938265,-0.4159477200845404,-1.2171791102411722,-0.7071907278724712,0.4886132576161214,0.013398603310847704
1773506918062695700,1.21169580078125,1.0700870953348536,-0.2976397801670089,-0.41401250557464514,-1.2249933569871967,-0.7057307498635059,0.4918824689213752,0.012816454552324457
1773506918072732700,1.221732666015625,1.0669448831264832,-0.29838459237103626,-0.4118069587172022,-1.2326411088114184,-0.7044682403130649,0.49508203663047473,0.012648819091277083
1773506918082768600,1.2317685546875,1.0633474838237074,-0.29900461926587435,-0.4094407405523428,-1.2396757824552542,-0.7034886001870344,0.49805442075289674,0.012845493639265218
1773506918092806000,1.241805908203125,1.0595228619902668,-0.2994274599816068,-0.4070882120268048,-1.2455886830581233,-0.7028639781679712,0.5006042548240595,0.013333764428668677
1773506918102843000,1.2518427734375,1.055704274605184,-0.2995690276478065,-0.40493829079564414,-1.249875072616066,-0.7026592369979722,0.5025468870635454,0.013989390095982584
1773506918112879900,1.2618798828125,1.0520353368042388,-0.2993293185965026,-0.4031453977959533,-1.2521636699706027,-0.7029161426613746,0.5037703300428055,0.01462196084868462
1773506918122916600,1.27191650390625,1.0485636726804475,-0.2986262112847235,-0.40179885581821584,-1.2523248992536644,-0.7036316260493566,0.5042642693673208,0.01502064515026702
1773506918132953600,1.28195361328125,1.0452891390384498,-0.29743417170486675,-0.40091846619814075,-1.250350713429729,-0.7047986835372303,0.5040397994968723,0.015105273098927278
1773506918142989600,1.291989501953125,1.042154948242801,-0.29580718074957985,-0.40043192966604957,-1.246546547001437,-0.7063537290301841,0.5032066025740446,0.014889578776635432
1773506918153026800,1.30202685546875,1.0391139259018354,-0.29387003657899097,-0.4002184702684297,-1.2414225661889793,-0.7081903669430117,0.5019283475666456,0.01447037217251058
1773506918163063800,1.312063720703125,1.0360690468880975,-0.2917494274740461,-0.40012982945924497,-1.2355392300008337,-0.7102014948226556,0.5003921531488658,0.013958558486701904
1773506918173100800,1.322100830078125,1.0329304557292394,-0.28957558832728075,-0.4000212406757444,-1.2294768386666985,-0.7122732851855841,0.49879430251943796,0.01345768595823235
1773506918183137500,1.332137451171875,1.0295792387372615,-0.28744944264773575,-0.3997563101625943,-1.2236716716409208,-0.7143375606761468,0.49728230114676547,0.013088765441690449
1773506918193174800,1.3421748046875,1.0259263705575754,-0.28549758266889746,-0.3991983686299369,-1.218721686186297,-0.7162746558489294,0.4960670967967777,0.012931374394553684
1773506918203211800,1.352211669921875,1.021894737431937,-0.283834350080554,-0.3982272262302415,-1.2152265642960427,-0.7179573257544997,0.4953690913909947,0.013023351572839525
1773506918213247700,1.362247802734375,1.0174762869951026,-0.28245477728681373,-0.39684428488323625,-1.2131677166010457,-0.7193928379948997,0.49518480586033226,0.013369765647234317
1773506918223284700,1.37228466796875,1.0127557854768912,-0.28140680163555193,-0.3950614543348536,-1.212680146998636,-0.7205308675512992,0.4955522627591242,0.013977833745538487
1773506918233321700,1.38232177734375,1.0078783321694882,-0.2807250582672639,-0.3929310425748834,-1.2137499191526717,-0.721346028238771,0.4964458913032428,0.014862355463382987
1773506918243359000,1.39235888671875,1.0030178827022054,-0.2803933204399767,-0.39055579000571206,-1.2161383254327416,-0.7218577923613038,0.4977619809931346,0.016001241945057105
1773506918253395700,1.402395751953125,0.9983947427344141,-0.2803974446224135,-0.3880614645036785,-1.2196506751655507,-0.7220591296481944,0.4994158397771548,0.017319851192648308
1773506918263432700,1.4124326171875,0.9940634034333384,-0.28068606985069366,-0.3855114531698871,-1.2241132440853115,-0.7219703787462715,0.5013532691044343,0.01874029857907247
1773506918273468700,1.42246875,0.9899762715910613,-0.2811572959499745,-0.3829510332245649,-1.2292522635017091,-0.721654885095039,0.5035011707029978,0.02016585185558192
1773506918283505700,1.432505615234375,0.9860298096763751,-0.28166738472272185,-0.38042713134954603,-1.2346741227311813,-0.7212153857576734,0.5057540257621513,0.021482248936326297
1773506918293543000,1.44254296875,0.9821584850707719,-0.28212291118463745,-0.3779729404254432,-1.2400495430626364,-0.7207424107715191,0.5080094380842333,0.022650188787725074
1773506918303580000,1.452579833984375,0.9783837962663151,-0.2824700890938383,-0.37564195296726993,-1.2450378487338445,-0.7203208491186405,0.5101389694019369,0.023681204690728954
1773506918313616600,1.46261669921875,0.9748191766021622,-0.2826877071300141,-0.3735151607662661,-1.2493539852576292,-0.720004422905166,0.5120231408799887,0.02457846187533855
