time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773506053618916000,-17.820083984375,91.8395853155243,-1,-1,34.1060224607943,126.5501680486786,-1,31.999999999992564,3,-118.26106498331133,-1
1773506071500561000,0.061560791015625,91.8395853155243,-1,-1,34.10596156448498,126.5501680486786,-1,464.66108689139196,3,-118.26097907284297,-1
1773506071521070800,0.08207080078125,91.8395853155243,-1,-1,34.10590307386864,126.5501680486786,-1,480.71759310454735,3,-118.26089910560377,-1
1773506071992910800,0.553910888671875,91.8395853155243,-1,-1,34.10598153537441,126.5501680486786,-1,35.96842818503945,3,-118.2608881118419,-1
1773506073999310600,2.560310546875,88.3123779296875,2.069999933242798,87.36169167339901,34.10616059721315,123.0229606628418,214.1015625,7.109388423731683,12,-118.26077145948567,0.6600000262260437
1773506074999304000,3.560303955078125,92.6993408203125,0.7699999809265137,64.7732383899805,34.10615056703746,127.4099235534668,117.7734375,4.094068858085285,4,-118.26077552858794,0.6600000262260437
1773506075999298600,4.560298583984375,92.87921142578125,1.090000033378601,51.26771751391212,34.10614239512294,127.58979415893555,139.921875,3.535267208994336,4,-118.26076533150514,0.6600000262260437
1773506076999292400,5.56029248046875,92.520263671875,0.9399999976158142,44.287844748238534,34.1061352180209,127.2308464050293,101.25,3.535471260345468,3,-118.2607527375442,1.159999966621399
1773506077999287000,6.560287109375,92.4129638671875,0.7699999809265137,59.145872853563674,34.10613053910304,127.1235466003418,103.359375,3.535518842469179,3,-118.26074199829823,1.159999966621399
1773506078999281000,7.560281005859375,92.8446044921875,1.159999966621399,48.73802376610908,34.1061250561903,127.5551872253418,103.7109375,3.5355302010742777,3,-118.26073067769107,1.3200000524520874
1773506079999662300,8.560662353515625,92.79345703125,1.0099999904632568,68.92673106577861,34.10611776792802,127.5040397644043,129.375,3.503120223039012,3,-118.26072137884421,1.3200000524520874
1773506080999665000,9.560664794921875,92.877197265625,1.2000000476837158,63.67524449976593,34.10610918591005,127.5877799987793,135,3.52781334140619,3,-118.26071439717492,0.8999999761581421
1773506081999663900,10.560663818359375,92.5115966796875,1.4600000381469727,51.41835392096216,34.106100701266044,127.2221794128418,120.9375,3.533754369486839,3,-118.26070028694048,0.8999999761581421
1773506082999672300,11.56067236328125,92.8978271484375,0.8100000023841858,39.78733065127958,34.10609122441657,127.6084098815918,125.859375,3.5344586068444777,3,-118.26068418383686,1.2100000381469727
1773506083999678500,12.560678466796874,93.09295654296875,0.25999999046325684,7.9080152191555655,34.10608149022472,127.80353927612305,138.8671875,3.5352707282985967,3,-118.26066920774898,1.559999942779541
1773506084999679000,13.560678955078124,92.70220947265625,0.2800000011920929,12.991708796696777,34.10607257779393,127.41279220581055,138.515625,3.535466433368544,3,-118.26065647997748,1.2100000381469727
1773506085999673600,14.560673583984375,92.70220960211009,0.3080157138848545,20.626479974429866,34.1060644074047,127.41279233526438,138.51562987078864,4.748609652964247,4.029364438188542,-118.26064779453748,1.2100000381469507
1773506086999686700,15.560686767578124,92.6119386292994,0.30801571388485344,18.9076064879928,34.10605772118058,127.3225213624537,124.45313161456804,4.74863391067312,4.029364438188538,-118.26063278656738,1.320000052452059
1773506087999688400,16.5606884765625,92.16754162311554,0.30801571388485494,21.515553684517013,34.10605224003864,126.87812435626984,122.34375595558838,4.748644116808128,4.029364438188543,-118.26062072105522,1.1599999666213796
1773506088999694300,17.5606943359375,92.14447036013007,0.30801571388485377,19.34731960772366,34.10604511395023,126.85505309328437,124.10156899128985,4.7486484110758065,4.029364438188539,-118.26060652401283,1.289999961853001
1773506089999702000,18.560701904296874,91.90075697656721,0.30801571388485394,19.652001520241217,34.106036834421424,126.6113397097215,130.4296933747724,4.74865021774887,4.029364438188541,-118.26059505177557,1.2699999809264884
1773506090999705000,19.560705078125,91.67578139249235,0.30801571388485394,19.65200152025504,34.10602825687955,126.38636412564665,136.40625532167496,4.748650978040848,4.02936443818854,-118.26058522624069,1.2699999809264884
1773506091999710200,20.560710205078124,91.57177746389061,1.0599999427795235,74.0432537899649,34.10601896539718,126.28236019704491,135.35156745390765,4.466529929960198,4.029364438188544,-118.2605767184876,1.1599999666213798
1773506092999717600,21.560717529296873,91.61517349351197,1.3200000524520585,80.41923244989148,34.10601092380961,126.32575622666627,135.35156817990378,4.635560703647105,4.029364438188537,-118.26056410100534,1.3300000429153152
1773506093999722500,22.560722412109374,91.58374035358429,0.7599999904632442,53.08761812447379,34.10600639568583,126.29432308673859,135.35156745388855,4.748651530191779,4.029364438188544,-118.26055453517229,1.1599999666213796
1773506094999724800,23.560724853515627,91.58300796616822,0.3080157138848533,18.765444173361455,34.10599783585169,126.29359069932252,135.70313064449968,4.748651530191784,4.029364438188537,-118.26054249087737,1.3300000429153154
1773506095999726600,24.5607265625,91.74792491085827,0.30801571388485577,23.325271338728015,34.105991257285055,126.45850764401257,135.70312954106163,4.7486515301917755,4.029364438188548,-118.26053423282873,1.0700000524520725
1773506096999727400,25.560727294921875,91.54162609856576,0.6899999976158027,47.78602144523243,34.10598327788691,126.25220883172005,135.7031299654582,4.748651530191779,4.029364438188543,-118.26052475877741,1.1699999570846362
1773506097999729700,26.560729736328124,91.10644543543458,0.7200000286102173,49.863676705248395,34.10597596850354,125.81702816858888,133.59375514940209,4.748651530191778,4.029364438188543,-118.2605147915408,1.169999957084636
1773506098999730200,27.560730224609376,90.87451184075326,0.7200000286102173,49.86367670524846,34.105969088082134,125.58509457390755,131.48438032636008,4.748651530191779,4.029364438188543,-118.2605045014867,1.169999957084636
1773506099999730200,28.560730224609376,91.12438978161663,0.9700000286102115,63.900500406465575,34.10596119526414,125.83497251477093,131.13281812978158,4.748651530191781,4.029364438188541,-118.26049356680153,1.2300000190734635
1773506100999731000,29.56073095703125,91.3077393937856,0.8199999928474273,54.018977660571515,34.10595325053299,126.01832212693989,133.94531788174427,4.748651530191781,4.029364438188542,-118.26048571106634,1.2300000190734637
