time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773506425609655800,-6.76534423828125,95.50074432590662,-1,-1,34.10595668925741,130.21132705906092,-1,15.103700109933525,3,-118.25969578730096,-1
1773506432441583000,0.0665830078125,95.50074432590662,1.3799999952316284,14.439836113012772,34.10598540453557,130.21132705906092,259.8046875,12.885002806714484,3,-118.25974478844762,0
1773506432442108200,0.067108154296875,0,0.08146887168816128,-1,34.10598540453557,130.21132672336756,-1,12.995014000000001,2.9564377257213237,-118.25974478844762,0
1773506432459641900,0.084641845703125,95.50074432590662,-1,-1,34.10598535913819,130.21132705906092,-1,12.89741747972191,3,-118.25974477707081,-1
1773506433251645200,0.876645263671875,95.50074432590662,-1,-1,34.1059708692,130.21132705906092,-1,11.733602008077511,3,-118.25973169779502,-1
1773506433999341600,1.624341552734375,96.507568359375,0.5600000023841858,14.439836113012772,34.10601339069458,131.2181510925293,259.8046875,9.108690458626738,6,-118.25978640559774,0
1773506434999338800,2.6243388671875,96.29071044921875,0.8899999856948853,51.399195240340276,34.106054446935524,131.00129318237305,344.8828125,4.557097921832547,4,-118.25985859990179,0
1773506435999335200,3.624335205078125,96.335693359375,0.7599999904632568,60.88441554452038,34.10607275254322,131.0462760925293,26.3671875,3.486517036892381,3,-118.25986823588539,0.6200000047683716
1773506436999332400,4.624332275390625,96.13861083984375,1,71.20682579564729,34.106082858211316,130.84919357299805,5.9765625,3.523443618493938,3,-118.25986733772115,0.6200000047683716
1773506437999328800,5.624328857421875,95.67559814453125,0.7200000286102295,30.023909912015686,34.10609718126849,130.38618087768555,5.625,3.365097399227789,3,-118.25986655353934,1.4800000190734863
1773506438999577000,6.6245771484375,95.42962646484375,0.8899999856948853,33.37620432269838,34.10611208379051,130.14020919799805,4.5703125,3.38261286418025,3,-118.25986626670465,1.6399999856948853
1773506439999582000,7.62458203125,94.57177734375,1.5199999809265137,65.91904360438517,34.10612351079892,129.2823600769043,2.109375,3.5266210183518902,3,-118.2598665563195,1.4800000190734863
1773506440999588900,8.6245888671875,94.5396728515625,1.3600000143051147,54.955005382627256,34.10613646942801,129.2502555847168,14.0625,3.430250233981814,3,-118.2598660618678,1.309999942779541
1773506441999596300,9.62459619140625,94.6258544921875,1.690000057220459,68.67102244363168,34.10615350603557,129.3364372253418,1.0546875,3.2474353776140568,3,-118.25986478519124,1.090000033378601
1773506442999611000,10.62461083984375,94.28924560546875,1.0800000429153442,60.32080199458927,34.10616282601431,128.99982833862305,0.703125,3.0862402735224475,3,-118.25986630583483,1.090000033378601
1773506443999621400,11.624621337890625,94.28851318359375,0.7900000214576721,54.25374303035287,34.10616963888778,128.99909591674805,354.7265625,3.1475005573335064,3,-118.25986888698863,0.8899999856948853
1773506444999633700,12.624633544921876,94.01397705078125,1,57.04256732507702,34.10617812769581,128.72455978393555,10.1953125,3.220178175270456,3,-118.25987050852265,0.8899999856948853
1773506445999647700,13.624647705078125,94.01397712808102,0.99999999999999,91.04322444553341,34.10618671647443,128.72455986123532,10.19531345732791,3.0721847592721248,4.029364438188552,-118.2598699487876,0.8899999856948765
1773506446999657200,14.6246572265625,93.89147957693785,0.8600000143051053,74.13243000683653,34.10619659059163,128.60206231009215,9.492188442042481,3.413069325648357,4.0293644381885505,-118.2598690496499,0.9399999976158039
1773506447999660500,15.62466064453125,94.17175312060863,1.3700000047683336,74.5026855423032,34.1062112047011,128.88233585376292,1.0546876666670326,3.447234193057244,4.029364438188531,-118.25986986876005,1.490000009536702
1773506448999669000,16.6246689453125,94.50823984853923,0.4499999880790649,34.726487137431356,34.10621949117033,129.21882258169353,5.273438086455968,3.8587375059940556,4.029364438188548,-118.25986996740701,1.0499999523162697
1773506449999676400,17.624676513671876,94.52642832417041,0.6999999880790615,54.01898050266182,34.10622987736965,129.2370110573247,5.625000625430636,4.1699284911204195,4.029364438188548,-118.25986994538867,1.0499999523162697
1773506450999680000,18.624679931640625,94.67291270010173,1.3300000429153258,101.66780409324792,34.1062401613571,129.38349543325603,5.273438092039332,4.235484071927325,4.029364438188547,-118.25986783652866,1.0599999427795264
1773506451999687200,19.624687255859374,94.84185805171728,0.8100000023841696,51.679575296653375,34.10625682805189,129.55244078487158,5.273438209332884,4.748651530191783,4.02936443818854,-118.25986825098765,1.2699999809264884
1773506452999694300,20.6246943359375,95.03839122503996,0.6899999976158037,50.3690471348036,34.10626658159148,129.74897395819426,5.273438119968254,4.748651530191777,4.029364438188545,-118.25986773980785,1.1100000143050976
