session,frame_file,frame_index,video_time_s,frame_abs_ms,lat,lon,altitude,speed,bearing,horizontalAccuracy,in_gps_range
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00000.jpg,0,1.9669809143364403,1773506434341.981,34.1060274582183,-118.25981114227751,96.4332640946744,0.0,288.9558838555993,7.54913131494829,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00001.jpg,1,2.967140701287173,1773506435342.1406,34.106060722153,-118.25986190314602,96.30613072636258,0.2125378698152817,235.69469650042967,4.190099568606486,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00002.jpg,2,3.967300488237905,1773506436342.3003,34.106076218447186,-118.2598679278453,96.268100689601,0.6200000047683716,19.37388953837267,3.4991816113153833,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00003.jpg,3,4.967460275188637,1773506437342.4602,34.10608777286907,-118.25986706864556,95.97973770925876,0.9150910378200352,5.855931174905139,3.469110422394135,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00004.jpg,4,5.96762006213937,1773506438342.62,34.10610229590413,-118.25986645509592,95.5911791772158,1.53491297478386,5.263024874637449,3.3711088126767494,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00005.jpg,5,6.967779849090102,1773506439342.7798,34.106116005550774,-118.25986636610074,95.13521182214902,1.585087843401204,3.725716385204418,3.432036601074117,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00006.jpg,6,7.967939636040835,1773506440342.9397,34.10612796021314,-118.25986638654688,94.56075409559811,1.4216295886713333,6.213544045749931,3.493531596955702,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00007.jpg,7,8.968099422991568,1773506441343.0994,34.10614232163869,-118.2598656233192,94.56927693302931,1.2344282178348016,9.594212576339162,3.367451871569501,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00008.jpg,8,9.9682592099423,1773506442343.2593,34.106156708921304,-118.25986530777266,94.5101761379309,1.090000033378601,0.9338702161345293,3.1920393821686948,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00009.jpg,9,10.968418996893032,1773506443343.419,34.106165168310845,-118.25986719324712,94.28899379553503,1.0212391177461186,122.41797457021326,3.1073018345347507,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00010.jpg,10,11.968578783843764,1773506444343.5789,34.10617255864149,-118.25986944472064,94.19408556901072,0.8899999856948853,236.22389491476545,3.172498265376736,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00011.jpg,11,12.968738570794496,1773506445343.7383,34.106181083095464,-118.25987031591777,94.0139770773801,0.8899999856948823,10.195312829416636,3.1692536248484378,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00012.jpg,12,13.968898357745228,1773506446343.8984,34.10619011561415,-118.25986963926174,93.97180765789604,0.9072123625323812,9.9532644604975,3.189533403585173,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00013.jpg,13,14.969058144695962,1773506447344.058,34.10620162368657,-118.25986933175118,93.98800570178896,1.1294198376887152,6.586315691413263,3.4248356957946076,True
2622_Farwell_Ave-2026-03-14_16-40-32,2622_Farwell_00014.jpg,14,15.969217931646694,1773506448344.218,34.10621405984147,-118.25986990274929,94.2876911412734,1.3383960041120408,2.508277162921474,3.5890195166338827,True
