time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773506261285771000,-9.63922900390625,90.4107443259066,-1,-1,34.10525425733047,125.1213270590609,-1,30.16871186850038,3,-118.2597862304353,-1
1773506270285771000,-0.63922900390625,90.4107443259066,-1,-1,34.10525425733047,125.1213270590609,-1,30.16871186850038,3,-118.2597862304353,-1
1773506270994333000,0.0693330078125,0,-1,-1,34.10525424582091,125.12136983707558,-1,30.295014,3.034315610472996,-118.25978621760993,-1
1773506271009857300,0.084857177734375,90.4107443259066,-1,-1,34.10500734971589,125.1213270590609,-1,27.764743262467036,3,-118.25955674663786,-1
1773506271418113000,0.493113037109375,90.4107443259066,-1,-1,34.105073641093426,125.1213270590609,-1,20.97134985790153,3,-118.25963459259263,-1
1773506271646982700,0.721982666015625,90.4107443259066,-1,30.77608449436334,34.105073640919485,125.1213270590609,107.578125,20.971322654773704,3,-118.25963459238838,-1
1773506272998978600,2.073978515625,90.45897864149403,-1,-1,34.10509315114241,125.16956137464832,-1,23.81812809699085,3,-118.25964449246528,-1
1773506273998973700,3.0739736328125,90.48278050664095,-1,-1,34.10510559140472,125.19336323979525,-1,25.190256549582056,3.0514833457041455,-118.25965529004559,-1
1773506274998969000,4.073968994140625,91.37896728515625,0.9200000166893005,9.464790354598954,34.10545703514656,126.08955001831055,130.078125,4.017288503386187,4,-118.25990605983222,0.75
1773506275998964200,5.073964111328125,91.1572265625,0.5299999713897705,15.883307801635757,34.10545515253736,125.8678092956543,130.078125,3.780698648592333,4,-118.25990819572054,1.2999999523162842
1773506276998959600,6.073959716796875,91.0137939453125,0.6100000143051147,19.55790517887301,34.105445524713495,125.7243766784668,129.7265625,3.527213184108833,3,-118.2598720053437,1.2999999523162842
1773506277999399200,7.074399169921875,90.40130615234375,1.0800000429153442,23.915004086281915,34.10545925475441,125.11188888549805,129.7265625,3.5334537425161043,3,-118.25986359141658,0.9900000095367432
1773506278999408000,8.074408203125,89.83489990234375,1.4299999475479126,30.01256155270971,34.105465515002365,124.54548263549805,129.7265625,3.53504445449786,3,-118.25986596741258,0.9800000190734863
1773506279999416000,9.074416015625,89.29248046875,1.2100000381469727,34.21214092993248,34.10548053628366,124.0030632019043,129.7265625,3.582218540647958,3,-118.25986862317383,0.7599999904632568
1773506280999435000,10.07443505859375,88.47650146484375,1.8899999856948853,39.63503450826122,34.10549410481417,123.18708419799805,129.7265625,3.7646820286110505,3,-118.25986638529707,1.0399999618530273
1773506281999453200,11.074453125,88.19427490234375,1.2000000476837158,42.78872067825829,34.105502269814814,122.90485763549805,129.7265625,3.5355281481213687,3,-118.25985944538834,0.7599999904632568
1773506282999467300,12.07446728515625,88.28070068359375,0.9200000166893005,8.362328666893548,34.10551132998481,122.99128341674805,6.328125,3.5355325791234984,3,-118.25985668577079,0.9599999785423279
1773506283999489800,13.07448974609375,88.0653076171875,0.9300000071525574,12.048453695902493,34.105519145098825,122.7758903503418,5.625,3.289405835877403,3,-118.25985542329425,0.6700000166893005
1773506284999512300,14.07451220703125,88.06530766747892,0.9300000071525523,112.47234979831045,34.105525329029646,122.77589040063322,5.62500039907567,4.6068734850351545,4.029364438188557,-118.25985484888366,0.6700000166892968
1773506285999527400,15.07452734375,87.82373054139316,0.9100000262260354,85.73942696721824,34.10553607945734,122.53431327454746,5.625000512244746,4.691247360355355,4.029364438188554,-118.25985552890587,0.8600000143051068
1773506286999543000,16.07454296875,87.64160163514316,0.9100000262260354,85.7394269671858,34.10554573092417,122.35218436829746,8.789063298532847,4.7254267193009625,4.029364438188553,-118.25985644800859,0.8600000143051068
1773506287999557000,17.07455712890625,88.59600837528706,1.360000014305102,128.13804235319188,34.10555456545363,123.30659110844135,8.789063298532218,4.739266063050098,4.029364438188553,-118.25985528670394,0.8600000143051068
1773506288999567600,18.074567626953126,88.45825209654868,2.2400000095366974,141.79982356792453,34.1055689414232,123.16883482970297,8.789063688509344,4.745066784694644,4.02936443818854,-118.25985052611043,1.2799999713897445
1773506289999586600,19.074586669921874,88.37341337278485,1.8799999952315478,81.89974147087386,34.10559033333605,123.08399610593915,8.4375016584931,4.747489898296564,3.9635038962946254,-118.25984876391061,1.8600000143050353
